Question,Answer
How can I learn to use your products?,Our products are designed to be easy-to-use  and you can learn how to use them by watching instructional videos and reading the provided instructions. If you have any questions or doubts  our team is available to assist you.
How long does it take to receive the Silk Set product?,The shipping time to Spain for the Silk Set product is around 5 business days.
Is the Silk Set product available?,Yes  the Silk Set product is available in all colors.
How can I order the pattern books that cover your different effects and colors?,The pattern books can be ordered online on our website. They are typically delivered within 5 working days to the UK.
Do you offer approved applicator or van sticker services?,No  we do not offer approved applicator or van sticker services.
Do you offer training days for your products?,No  we do not offer training days  but we provide detailed instructions and videos  and are available to answer any questions you may have.
What is the best way to paint a wall from a dark to a light color?,When painting a wall from a dark to a light color  it is best to first paint the wall white. This will help ensure the desired light color is achieved.
The Polaris color was very thick and difficult to work with. Is that normal?,"No  the Polaris paint should have a consistent  smooth consistency that is easy to apply. If the paint is too thick or has a ""dense  firm mass"" consistency  it may indicate a problem with the product. Please provide the batch/lot number (KOD PARTII) on the product's lid so we can investigate the issue."
Can I order the Polaris color separately from you?,No  unfortunately it is not possible to order the Polaris color individually. The Polaris product is only sold in sets.
Can I get a replacement for the Polaris paint that was too thick?,Yes  we will gladly send you a replacement Polaris Lazy Day product free of charge. Please provide the batch/lot number (KOD PARTII) on the product's lid so we can investigate the issue and address any problems with the production batch.
Can I just purchase the Polaris set without the Decobase?,"No  the company sells its products only in sets  not individually. However  the company offers a 20% discount on two Polaris Cosmic Sand sets when using the code ""Polaris_20"" in the shopping cart."
How long does it take to deliver a product to Germany?,The delivery time for a product to Germany is typically 2-3 days after the order is packaged  which takes 2 business days.
